fundNo,fundName
SE1352,华润信托·民森H号证券投资信托计划
SE1353,华润信托·民森K号证券投资集合资金信托计划
SE1354,厦门信托·民森C号证券投资集合资金信托计划
SE1355,厦门信托·民森D号证券投资集合资金信托计划
SE1356,华宝·安信成长组合（深圳民森）证券投资资金信托计划
SE1360,外贸信托汇富144号（思考3号A）结构化证券投资集合资金信托计划
SE1369,深国投·民森B号证券投资集合资金信托计划
SE1370,华润信托·民森F号证券投资集合资金信托计划
SE1393,华润信托*万丰友方稳健成长3期证券投资资金信托
SE1394,外贸信托-万博宏观策略MoM证券投资集合资金信托计划
SE1395,华融信托-昭时二期集合资金信托计划
SE1403,西安信托·昭时三期（长安投资144号）证券投资集合资金信托计划
SE1404,深国投·尚雅1期
SE1405,深国投·尚雅5期
SE1406,华润信托·尚雅6期
SE1407,华润信托·尚雅7期
SE1408,华润信托·尚雅8期
SE1409,中信信托·尚雅9期
SE1410,华润信托·尚雅11期
SE1411,北京信托·尚雅13期
SE1412,华润信托·尚雅14期
SE1413,北京信托·尚雅16期
SE1461,外贸信托双赢（5期）阳光私募基金宝证券投资集合资金信托计划
﻿SE1492,深国投.景林丰收证券投资集合资金信托计划
SE1493,深国投.景林稳健2号证券投资集合资金信托计划
SE1494,华润信托·民森E号证券投资集合资金信托计划
SE1495,华润信托·民森G号证券投资集合资金信托计划
SE1532,西部信托·尚雅12期
SE1533,外贸信托·昭时风险缓冲4期证券投资集合资金信托计划
SE1544,华润信托·富舜共赢1号集合资金信托计划
SE1549,兴业信托·中睿5期证券投资集合资金信托计划
SE1550,陕国投天生桥证券投资集合资金信托计划
SE1561,外贸信托·国富投资专户6号A期集合资金信托计划
SE1569,交银国信 平安罗素MOM一期多元投资集合资金信托计划
SE1652,外贸信托-翼虎量化对冲一期
SE1679,中融-慧安3号证券投资集合资金信托计划
SE1680,中融-慧安5号证券投资集合资金信托计划
SN5701,平安人寿绝对收益账户
SN5702,罗素投资合格投资者中国基金
SN5711,中信·融惠优选2期证券投资集合资金信托计划[1号]投资组合
SN5724,Guoyuan RMB Stable Income Fund
SN5753,华宝·安心成长组合（上海重阳）证券投资资金信托计划
SN5775,兴业信托-博道1期量化投资单一资金信托计划
SN5776,华润信托-博道2期量化对冲集合资金信托计划
SN5777,华润信托-博道量化对冲专享1号集合资金信托计划
SN5778,西藏山南硅谷天堂元昌创业投资合伙企业
SN5829,上海歌斐鸿阳投资中心（有限合伙）
SN5830,上海歌斐鸿馨投资中心（有限合伙）
SN5831,上海歌斐鸿瀚投资中心（有限合伙）
SN5832,上海歌斐鸿卧投资中心（有限合伙）
SN5833,上海歌斐融礼投资中心（有限合伙）
SN5834,上海歌斐景颖投资中心&#40;有限合伙&#41;
SN5842,兴业信托·合赢（明曜）目标回报第5期证券投资集合资金信托计划
SN5843,华测检测实际控制人市值委托管理
SN5848,新余昌久资产管理中心（有限合伙）
SN5849,上海昌久资产管理中心（有限合伙）
SN5850,上海虹开资产管理中心（有限合伙）
SN5851,上海久富股权投资基金管理有限公司
SN5852,上海久富智本股权投资基金管理有限公司
SN5853,新余久裕资产管理中心（有限合伙）
SN5855,华润信托*万丰友方贯富添利集合资金信托计划
SN5856,长安信托*万丰友方贯富2期
SN5873,中融世诚扬子二号世博主题证券投资集合资金信托计划
SN5874,中融世诚扬子三号证券投资集合资金信托计划
SN5915,中海聚发（16）-浦江之星39号-集合资金信托计划
SN5980,华宝-敦和1期单一资金信托
SN7005,华澳.通金一号证券投资资金信托
SN7031,长安信托·【中睿合银11期（长安投资50号）】证券投资集合资金信托计划
SN7032,兴业信托·中睿6期证券投资集合资金信托计划
SN7033,中信信托·中睿3期证券投资集合资金信托计划
SN7034,中信信托·中睿4期证券投资集合资金信托计划
SN7286,厦门信托·国富投资专户1号集合资金信托计划
SN7312,华润信托·创赢3号集合资金信托计划
SN7313,华润信托·创赢1号集合资金信托计划
SN7314,华润信托·创赢2号集合资金信托计划
SN7315,华润信托·创赢5号集合资金信托计划
SN7316,华润信托·创赢7号集合资金信托计划
SN7317,华润信托·创赢9号集合资金信托计划
SN7318,华润信托·创赢6号集合资金信托计划
None,华润信托·同享共赢2号集合资产管理计划
None,万家共赢歌斐诺宝精选组合3号专项资产管理计划
None,国泰君安君享慧安一号集合资金管理计划
None,融通资本长城汇理并购1号专项资产管理计划
None,国联安合晟债券分级1号资产管理计划
None,华润信托·同享共赢3号集合资产管理计划
None,万家共赢歌斐诺宝精选组合2号专项资产管理计划
None,万家共赢歌斐诺宝精选组合3号二期专项资产管理计划
None,万家正行季季新1号专项资产管理计划
None,金元惠理歌斐正行季季加利专项资产管理计划
None,国泰君安-君享博道精选集合资产管理计划
None,万家共赢歌斐诺宝精选组合3号三期专项资产管理计划
None,指财通基金-耀之债期1号资产管理计划
None,万家正行季季加利专项资产管理计划
None,红塔红土基金—翼虎量化对冲二期
None,长安万丰贯富4号资产管理计划
None,鹏华·民森宏观策略资产管理计划
None,万家共赢歌斐诺宝精选组合3号四期专项资产管理计划
None,国联安-歌斐诺宝-安心宝1号资产管理计划
None,国泰君安君享重阳阿尔法对冲一号限额特定集合资产管理计划
None,招商汇智之万丰友方贯富限额特定集合资产管理计划
None,财通基金-长城汇理1号资产管理计划
None,华润信托·同享共赢1号集合资产管理计划
None,万家共赢歌斐诺宝精选组合4号专项资产管理计划
None,万家共赢歌婓正行季季新2号专项资产管理计划
None,招商汇金之重阳集合资产管理计划
 ,长安中国龙阿尔法1号资产管理计划
 ,财达证券-怀特集团-浦发银行定向资产管理计划 
 ,财达证券-中国工商银行-财达期货定向资产管理计划
 ,天地方中-国泰君安- 青骓高频2期专项资产管理计划
109008,富国基金-金百临-稳健增利2号分级债券型资产管理计划
488048,工银瑞信银杏1号结构化资产管理计划
579071,诺德-善翔1号资产管理计划
749132,长安富赢2号债券资产管理计划
799012，799013,华宸未来-工商银行-远见10号善翔资产管理计划
799044,华宸未来-工行-善翔2号
880209,招商汇智之摩旗集合资产管理计划集合资产管理计划（880209）
AD0020,安信证券安泰限额特定集合资产管理计划
LR2013001,天弘乐瑞强债1号资产管理计划
SD1325,上海中城永赞投资中心（有限合伙）
SD1326,上海中城永玺投资中心（有限合伙）
SD1334,苏州金晟硕嘉创业投资中心（有限合伙）
SD1335,平安财富·投资精英之长青藤集合资金信托
SD1336,华润 * 长青藤2期集合资金信托计划
﻿SD1340,泰发-固安城市发展基金
SD1357,苏州金晟硕德创业投资中心（有限合伙）
SD1358,泰发-济南城市发展基金
SD1359,上海中城永跃投资中心（有限合伙）
SD1378,中粮（北京）农业产业股权投资基金（有限合伙）
SD1392,深圳前海硅谷天堂恒嘉文化创意发展合伙企业
SD1403,宿迁华元兴盛投资合伙企业（有限合伙）
SD1412,泰发-沈阳城市发展基金三期
SD1417,天津硅谷天堂鸿盛股权投资基金合伙企业(合伙企业)
SD1418,天津硅谷天堂合丰股权投资基金合伙企业（有限合伙）
SD1419,天津硅谷天堂合盈股权投资基金合伙企业（有限合伙）
SD1441,深圳市保腾丰利创业投资企业（有限合伙）
SD1448,吉林省国家生物产业创业投资有限责任公司
SD1450,北京紫荆华融股权投资有限公司
SD1451,宁波华电金泰新能源投资合伙企业（有限合伙）
SD1452,泰发-廊坊城市发展基金二期
SD1453,泰发-临沂城市发展基金二期
SD1456,天津硅谷天堂鸿瑞股权投资基金合伙企业（有限合伙）
SD1472,泰发-沧州城市发展基金三期
SD1473,北京立德九鼎投资中心（有限合伙）
SD1474,宇鑫九鼎（厦门）投资管理中心（有限合伙）
SD1475,达孜县吉峰融智创业投资中心（有限合伙）
SD1476,九江富祥九鼎投资中心（有限合伙）
SD1478,苏州天璇钟山九鼎投资中心（有限合伙）
SD1481,北京夏启九鼎投资中心（有限合伙）
SD1482,北京嘉俪九鼎投资中心（有限合伙）
SD1483,苏州泰合鼎银投资中心（有限合伙）
SD1484,苏州嘉岳九鼎投资中心（有限合伙）
SD1485,上海豪石九鼎股权投资基金合伙企业（有限合伙）
SD1486,苏州荣丰九鼎创业投资中心（有限合伙）
SD1491,厦门赛富科元股权投资合伙企业（有限合伙）
SD1492,北京赛富创元投资中心（有限合伙）
SD1496,弘毅投资产业一期基金（天津）（有限合伙）
SD1497,苏州嘉鹏九鼎投资中心（有限合伙）
SD1498,苏州夏启盛世九鼎医药投资中心（有限合伙）
SD1499,苏州嘉赢九鼎投资中心（有限合伙）
SD1500,九江市东联九鼎投资中心（有限合伙）
SD1501,九江正道九鼎投资中心（有限合伙）
SD1502,中山小榄昆吾投资中心（有限合伙）
SD1503,苏州天瑶钟山九鼎投资中心（有限合伙）
SD1504,苏州天昌湛卢九鼎投资中心（有限合伙）
SD1505,苏州大成九鼎投资中心（有限合伙）
SD1506,无锡恒泰九鼎投资中心（有限合伙）
SD1507,苏州泰泽九鼎创业投资中心（有限合伙）
SD1508,九江乾宝九鼎投资中心（有限合伙）
SD1509,苏州天鑫湛卢九鼎投资中心（有限合伙）
SD1510,苏州永乐九鼎投资中心（有限合伙）
SD1511,苏州天权钟山九鼎投资中心（有限合伙）
SD1512,嘉兴春秋晋文九鼎投资中心（有限合伙）
SD1513,苏州天齐湛卢九鼎投资中心（有限合伙）
SD1514,苏州天阳钟山九鼎投资中心（有限合伙）
SD1515,嘉兴永泽九鼎投资中心（有限合伙）
SD1518,苏州金泽九鼎投资中心（有限合伙）
SD1519,苏州工业园区嘉翔九鼎投资中心（有限合伙）
SD1520,苏州天元东杭九鼎投资中心（有限合伙）
SD1523,苏州天相湛卢九鼎投资中心（有限合伙）
SD1524,嘉兴春秋齐桓九鼎投资中心（有限合伙）
SD1525,苏州周原九鼎投资中心（有限合伙）
SD1527,北京商契九鼎投资中心（有限合伙）
SD1528,嘉兴九鼎策略一期投资合伙企业（有限合伙）
SD1529,苏州夏启兴贤九鼎医药投资中心（有限合伙）
SD1530,苏州夏启智仕九鼎医药投资中心（有限合伙）
SD1531,苏州工业园区昆吾民安九鼎投资中心（有限合伙）
SD1532,苏州天玑钟山九鼎投资中心（有限合伙）
SD1533,苏州工业园区昆吾民和九鼎投资中心（有限合伙）
SD1574,天津联海股权投资基金合伙企业（有限合伙）
SD1580,上海君翼博盈创业投资中心（有限合伙）
SD1591,天津联垠股权投资基金合伙企业（有限合伙）
SD1599,天津联月股权投资基金合伙企业（有限合伙）
SD1640,宁波建达兴农股权投资合伙企业（有限合伙）
SD1643,九江金恩九鼎投资中心（有限合伙）
SD1644,苏州工业园区嘉乾九鼎投资中心（有限合伙）
