registerCode,name
SR8286,汇添富-东方赢家添富牛88号资产管理计划
SR8290,融通资本鼎鑫52号专项资产管理计划
SR7725,首誉光控-镇江丹徒1号专项资产管理计划
SR8307,圆融乐享-鹏华基金海外多资产资产管理计划
SR8297,金元顺安云栖7号资产管理计划
SR8285,国泰基金海内外FOF1号资产管理计划
SR8308,鑫沅资产鑫梅花313号专项资产管理计划
SR8298,定增通宝-和聚定增组合投资1号资产管理计划
SR8287,建信星光熠熠1期中欧瑞博1号特定多个客户资产管理计划
SR8300,兴业财富-兴盛136号单一客户专项资产管理计划
SR8207,工银瑞信投资-2017票营1号专项资产管理计划
SR8304,交银施罗德资产管理有限公司-青岛国益3号专项资产管理计划
SR8293,嘉实资本-嘉鑫专项资产管理计划
SR8310,首誉光控-瑞丰2号专项资产管理计划
SR8312,财通基金-富春定增1095号资产管理计划
SR8314,长安青晓1号投资组合
SR8315,海富通富源2号资产管理计划
SR8313,财通基金-富春定增1176号资产管理计划
SA7763,五矿投资-添富专户1号
SR8311,财通基金-富春定增1230号资产管理计划
SR7726,首誉光控-中建投宝龙1号专项资产管理计划
SR8280,粤享财富23号-嘉实资本分级基金A份额专项资产管理计划
SR8291,嘉实资本极光25号专项资产管理计划
SA7716,中国人寿保险股份有限公司委托汇添富基金管理股份有限公司股票型组合
SR8268,英大资本-丝绸之路2号专项资产管理计划
SR8284,工银瑞信投资-重庆四联集团专项资产管理计划
SR8281,粤享财富22号-嘉实资本智臻六期专项资产管理计划
SR8261,银华基金-稳利1号资产管理计划
SR8302,交银施罗德资产管理有限公司-浙江国益1号专项资产管理计划
SR8303,交银施罗德资产管理有限公司-宁波国益2号专项资产管理计划
SR8316,泰信联泰1号资产管理计划
SR8159,博时资本-华能1号专项资产管理计划
SR8232,红塔资产祺阳4号专项资产管理计划
SR8277,汇添富-新三板添富牛2号资产管理计划
SR8214,圆融乐享-南方基金恒安1号资产管理计划
SR8270,财通基金-上海银行-富春定增富润1号资产管理计划
